archivo,hoja,razon,fila
"16 DE FEBRERO DE 2025.xlsx","16-02-25","parece fecha","2 | 23/06/24 - C. Rojas - 2º a 15 cp de High Commander - 1'38'2/5 - PN |  |  |  |  | 28/09/24 - R. Schneider - 5º a 7 1/2 cp de Arthur Shelby - 52'2/5 - PN |  |  | "
"16 DE FEBRERO DE 2025.xlsx","16-02-25","parece fecha","3 | 08/12/24 - W. Marrades - 4º a 9 cp de Huge Impact - 1'27'1/5 - PB |  |  |  |  | 29/12/24 - S. Barrionuevo - 9º a 21 1/4 cp de He's A Rockstar - 2'7'1/5 - PN |  |  | "
"16 DE FEBRERO DE 2025.xlsx","16-02-25","parece fecha","4 | 08/12/24 - P. Alarcon - 3º a 3 cp de Huge Impact - 1'27'1/5 - PB |  |  |  |  | 29/12/24 - W. Marrades - 4º a 2 1/2 cp de Etoo - 1'18'1/5 - PN |  |  | "
"16 DE FEBRERO DE 2025.xlsx","16-02-25","parece fecha","5 | 08/12/24 - M. Rodriguez - 1º gan x 7 cp a Star Empire - 1'20'2/5 - PB |  |  |  |  | 29/12/24 - M. Rodriguez - 2º a 1/2 pz de Etoo - 1'18'1/5 - PN |  |  | "
"16 DE FEBRERO DE 2025.xlsx","16-02-25","parece fecha","6 | 24/11/24 - F. Brito - 8º a 6 1/2 cp de Joy Fun - 44'2/5 - PN |  |  |  |  | 29/12/24 - L. Medina - 6º a 14 1/4 cp de Mr. Aidan - 1'11'1/5 - PN |  |  | "
"16 DE FEBRERO DE 2025.xlsx","16-02-25","parece fecha","7 | 24/11/24 - R. Ruiz - 7º a 15 1/4 cp de Grystex - 1'18'1/5 - PN |  |  |  |  | 29/12/24 - R. Ruiz - 3º a 2 1/2 cp de Etoo - 1'18'1/5 - PN |  |  | "
"16 DE FEBRERO DE 2025.xlsx","16-02-25","parece fecha","8 | 14/11/24 - D. Arias - 1º gan x 2 cp a Principe Novato - 1'23'2/5 - PN |  |  |  |  | 29/12/24 - C. Caram - 5º a 3 cp de Etoo - 1'18'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","1 | 29/12/24 - R. Camos - 4º a 5 cp de Camino Del Norte - 44'3/5 - PN |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","2 | 08/12/24 - R. Ruiz - 9º a 17 1/2 cp de Army Of Me - 1'14'2/5 - PB |  |  |  |  | 29/12/24 - R. Ruiz - 4º a 10 1/4 cp de Sweet Elementary - 1'17'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","3 | 24/11/24 - J. Vizcarra - 6º a 10 1/4 cp de Sweet Elementary - 45'1/5 - PN |  |  |  |  | 08/12/24 - C. Schultheis - 11º a 32 1/2 cp de Army Of Me - 1'14'2/5 - PB |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","4 | 24/11/24 - R. Camos - 2º a 1 cp de Sweet Elementary - 45'1/5 - PN |  |  |  |  | 29/12/24 - C. Schultheis - 7º a 13 1/2 cp de Camino Del Norte - 44'3/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","5 | 24/11/24 - E. Ortega P.- 5º a 11 1/2 cp de Vieja Amiga Mask - 1'9'2/5 - PN |  |  |  |  | 11/12/24 - E. Ortega P.- 7º a 10 cp de Sicurezza Check - 1'24'2/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","6 | 13/10/24 - J. Guida - 9º a 10 3/4 cp de Vikingo Real - 1'11'3/5 - PH |  |  |  |  | 29/12/24 - J. Vizcarra - 3º a 3 1/2 cp de Camino Del Norte - 44'3/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","7 | 29/12/24 - R. Valdez - 9º a 15 1/2 cp de Camino Del Norte - 44'3/5 - PN |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","8 | 29/12/24 - F. Brito - 5º a 6 1/2 cp a Camino Del Norte - 44'3/5 - PN |  |  |  |  | 16/02/25 - F. Brito - 2º a 2 cp de Great Daddy - 1'12'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","9 | 13/12/24 - L. Noriega C.- 9º a 23 cp de Padret - 1'11'3/5 - PN |  |  |  |  | 29/12/24 - F. Brito - 10º a 20 3/4 cp de Sweet Elementary - 1'17'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","PREMIO 'MACERO' |  |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","800 metros - Record Dist.: 43' 2/5, Repirado 20/08/2016 |  |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","Para todo spc de 3 años y más edad perdedor o ganador de 1 extraoficial. Peso 55 y 58 kilos. Yeguas con descargo de 2 kilos. Aprendices sin descargo. |  |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","NO COMPUTABLE - CAT. EXTRAOFICIAL - Premios: $ 776.200 - $ 232.900 - $ 194.000 - $ 155.200 - $ 116.400 - $ 77.600  |  |  |  |  |  |  |  | APUESTA TRIPLO $ 300 | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","AP. A GANADOR $ 1 ($ 300 MINIMO), EXACTA $ 100, TRIFECTA $ 100, DOBLE $ 100, TRIPLO $ 300 |  |  |  |  |  |  |  | INCREMENTO: $ 200.000 | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","1 | 21/07/24 - L. Gonzalez - 1º gan x 8 cp a Ital Force - 1'23'2/5 - PN |  |  |  |  | 04/08/24 - L. Gonzalez - 1º gan x 6 cp a Bonus Eventus - 1'24'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","2 | 07/07/24 - R. Robledo - 3º a 3 3/4 cp de Vacation Tom - 26'4/5 - PN |  |  |  |  | 04/08/24 Dio por tierra en la largada |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","3 | 24/09/24 - A. Villegas - 10º a 25 1/2 cp de Escandaloso Song - 1'12'4/5 - PN |  |  |  |  | 29/12/24 - A. Lastra - 1º gan x 1 1/2 cp a Grand Plus - 44'3/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","4 | 21/10/24 - I. Monasterolo - 3º a 3 cp de Baile Popular - 1'10'3/5 - PN |  |  |  |  | 22/11/24 - I. Monasterolo - 10º a 30 cp de Igual A Daddy - 1'23'3/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","5 | 19/05/24 - P. Alarcon - 4º a 9 cp de Zinzan Brooke - 1'29'1/5 - PN |  |  |  |  | 02/06/24 - P. Alarcon - 1º gan x 6 cp a Master Roberts Top - 1'22'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","6 | 24/11/24 - R. Ruiz - 10º a 7 1/2 cp de Joy Fun - 44' 2/5 - PN |  |  |  |  | 08/12/24 - R. Ruiz - 6º a 13 cp de Mr. Aidan - 45'1/5 - PB |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","7 | 29/12/24 - C. Caram - 3º a 7 cp de Law Of Nature - 43'3/5 - PN |  |  |  |  | 16/02/25 - C. Caram - 2º a 3/4 cp de Grand Rex - 46'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","8 | 08/12/24 - F. Brito - 1º gan x 1 1/2 cp a Aspera - 1'14'2/5 - PB |  |  |  |  | 29/12/24 - H. Suarez - 4º a 12 cp de Mr. Aidan - 1'11'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","PREMIO 'APOLOGIA' |  |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","1.300 metros - Record Dist.: 1' 16' 2/5, Panatta 19/12/2021 - High Commander 08/10/2023 |  |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","Para todo spc de 4 años y más edad perdedor y yeguas ganadoras de 1 carrera. |  |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","Peso 57 kilos. Recargo de 3 kilos a las ganadoras. Descargo de 2 kilos a los de 6 años y más edad. |  |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","NO COMPUTABLE - CAT. INTERIOR - Premios: $ 1.139.900 - $ 342.000 - $ 285.000 - $ 228.000 |  |  |  |  |  |  |  | APUESTA CADENA $ 200 | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","AP. A GANADOR $ 1 ($ 300 MINIMO), EXACTA $ 100, TRIFECTA $ 100, DOBLE $ 100, CADENA $ 200 |  |  |  |  |  |  |  | INCREMENTO: $ 1.303.120 | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","1 | 24/11/24 - M. Rodriguez - 3º a 7 1/2 cp de Grand Lucre - 1'11'2/5 - PN |  |  |  |  | 29/12/24 - M. Rodriguez - 5º a 9 1/2 cp de Estigma - 1'13' - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","2 | 24/11/24 - P. Alarcon - 6º a 39 1/2 cp de Grand Lucre - 1'11'2/5 - PN |  |  |  |  | 08/12/24 - J. Romano - 8º a 23 1/2 cp de Q Loico - 1'22'2/5 - PB |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","3 | 16/09/23 - I. Monasterolo - 10º a 33 3/4 cp de Mezcal Puro - 1'11'3/5 - PN |  |  |  |  | 06/12/24 - K. Banegas - 12º a 11 1/2 cp de Frauen - 1'19'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","4 | 08/12/24 - A. Vai - 6º a 17 1/2 cp de Q Loico - 1'22'2/5 - PB |  |  |  |  | 29/12/24 - J. Carrizo - 7º a 11 1/2 cp de Estigma - 1'13' - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","5 | 06/12/24 - L. Gonzalez - 1º gan x 8 cp a Elvi Mas - 1'18'4/5 - PN |  |  |  |  | 29/12/24 - J. Bethencourt - 2º a 3 1/2 cp de Estigma - 1'13' - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","6 | 27/07/24 - R. Lobo - 6º a 20 1/4 cp de Negrita Pat - 1'12'2/5 - PN |  |  |  |  | 25/08/24 - L. Diaz - 9º S.A de Jean Aladel - 1'26'2/5 - PP |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","7 | 25/01/25 - A. Villegas - 2º a 2 1/2 cp de Belle Forlie - 1'2'3/5 - PN |  |  |  |  | 16/02/25 - J. Romano - 4º a 5 cp de Tira A Buena - 1'6'4/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","PREMIO 'SANDY PRINCE' |  |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","1.300 metros - Record Dist.: 1' 16' 2/5, Panatta 19/12/2021 - High Commander 08/10/2023 |  |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","Para todo spc de 3 años perdedores y yeguas ganadoras de 1 carrera. Peso 56 kilos. 
Recargo de 3 kilos a las ganadoras de 1 carrera. |  |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","NO COMPUTABLE - CAT. INTERIOR -  Premios: $ 2.052.600 - $ 615.800 - $ 513.200 - $ 410.500 |  |  |  |  |  |  |  | APUESTA QUINTUPLO $ 200 | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","AP. A GANADOR $ 1 ($ 300 MINIMO), EXACTA $ 100, TRIFECTA $ 100, DOBLE $ 100, QUINTUPLO $ 200 |  |  |  |  |  |  |  | INCREMENTO: $ 855.320 | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","1 | 08/12/24 - M. Rodriguez - 6º a 13 cp de Army Of Me - 1'14'2/5 - PB |  |  |  |  | 29/12/24 - W. Marrades - 15º S.A. de Sweet Elementary - 1'17'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","2 | 24/11/24 - A. Lastra - 10º a 22 3/4 cp de Sweet Elementary - 45'1/5 - PN |  |  |  |  | 29/12/24 - W. Marrades - 11º a 23 1/2 cp de Camino Del Norte - 44'3/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","3 | 29/12/24 - F. Navarro - 11º a 22 3/4 cp de Sweet Elementary - 1'17'1/5 - PN |  |  |  |  | 16/02/25 - F. Navarro - 5º a 13 3/4 cp de Great Daddy - 1'12'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","3a | 29/12/24 - F. Navarro - 10º a 20 1/2 cp a Camino Del Norte - 44'3/5 - PN |  |  |  |  | 16/02/25 - J. Romano - 8º a 23 cp de Great Daddy - 1'12'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","4 | 29/12/24 - C. Caram - 12º a 22 3/4 cp de Sweet Elementary - 1'17'1/5 - PN |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","5 | Debutante |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","6 | 29/12/24 - J. Carrizo - 8º a 20 cp de Sweet Elementary - 1'17'1/5 - PN |  |  |  |  | 25/01/25 - J. Romano - 3º a 5 1/2 cp de Es Por Amor - 1'4/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","7 | 28/09/24 - L. Balmaceda - 13º S.A. de Same Treasure - 1'37' - PN |  |  |  |  | 16/02/25 - J. Vizcarra - 3º a 2 1/2 cp de Tira A Buena - 1'6'4/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","PREMIO 'BRAVITO' |  |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","1.200 metros - Record Dist.: 1' 09' 4/5 Donald Music 28/11/2021 |  |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","Para yeguas spc de 3 años y más edad ganadoras de 1 o más carreras. |  |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","Peso 52 kilos. Recargo de 2 kilos por cada carrera ganada arriba de 1. Descargo de 2 kilos a las de 6 años y más edad. |  |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","NO COMPUTABLE - CAT. INTERIOR - Premios: $ 1.635.700 - $ 490.700 - $ 408.900 - $ 327.100 |  |  |  |  |  |  |  | APUESTA CUATERNA $ 300 | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","AP. A GANADOR $ 1 ($ 300 MINIMO), EXACTA $ 100, TRIFECTA $ 100, DOBLE $ 100, CUATERNA $ 300 |  |  |  |  |  |  |  | INCREMENTO: $ 400.000 | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","1 | 27/10/24 - M. Rodriguez - 5º a 19 1/2 cp de Dulce Agua - 1'19'2/5 - PN |  |  |  |  | 10/11/24 - C. Schultheis - 9º a 14 1/2 cp de Super Fain - 1'13'1/5 - PP |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","2 | 29/12/24 - H. Suarez - 6º a 9 1/2 cp de Camino Del Norte - 44'3/5 - PN |  |  |  |  | 16/02/25 - H. Suarez - 1º gan x 1/2 cp a Grand Silvi - 1'6'4/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","3 | 08/12/24 - J. Vizcarra - 3º a 10 1/2 cp de Ital Force - 1'20'2/5 - PB |  |  |  |  | 29/12/24 - L. Medina - 6º a 15 cp de Cima Himalaya - 1'18'4/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","4 | 08/12/24 - W. Marrades - 5º a 13 cp de Ital Force - 1'20'2/5 - PB |  |  |  |  | 29/12/24 - W. Marrades - 12º a 43 1/4 cp de He's A Rockstar - 2'7'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","5 | 08/12/24 - H. Suarez - 5º a 11 cp de Army Of Me - 1'14'2/5 - PB |  |  |  |  | 29/12/24 - H. Suarez - 1º gan x 4 cp a Aspera - 1'18'4/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","6 | 24/09/24 - O. Alderete - 8º a 11 1/2 cp de Grand Lucre - 1'13'1/5 - PN |  |  |  |  | 29/12/24 - O. Alderete - 1º gan x 4 cp a Blessed Again - 1'20'2/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","7 | 16/11/24 - L. Diaz - 1º gan x 1 1/2 cp a Viento Pampero - 58'4/5 - PN |  |  |  |  | 22/12/24 - R. Camos - 2º a 5 cp de Devil Runner - 1'12'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","PREMIO 'DESERT WIND' |  |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","1.200 metros - Record Dist.: 1' 09' 4/5 Donald Music 28/11/2021 |  |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","Para todo spc de 5 años y más edad ganadores de 1 o 2 carreras y de 6 años y más edad ganadores de 3 carreras. |  |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","Peso 53: 56 y 59 kilos. Descargo de 2 kilos a los de 6 años y más edad. |  |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","NO COMPUTABLE - CAT. INTERIOR - Premios: $ 1.139.900 - $ 342.000 - $ 285.000 - $ 228.000 - $ 171.000 - $ 114.000 |  |  |  |  |  |  |  | APUESTA TRIPLO $ 300 | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","AP. A GANADOR $ 1 ($ 300 MINIMO), EXACTA $ 100, TRIFECTA $ 100, DOBLE $ 100, TRIPLO $ 300 |  |  |  |  |  |  |  | INCREMENTO: $ 200.000.- | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","1 | 29/12/24 - W. Figueroa - 4º a 4 cp de Rojo De Recoleta - 1'25'3/5 - PN |  |  |  |  | 16/02/25 - W. Figueroa - 4º a 14 cp de Eufemio - 1'18'4/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","2 | 29/12/24 - J. Romano - 9º a 16 1/4 cp de Rojo De Recoleta - 1'25'3/5 - PN |  |  |  |  | 16/02/25 - C. Schultheis - 6º a 23 cp de Indio Electric - 1'20'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","3 | 29/12/24 - O. Alderete - 6º a 5 3/4 cp de Rojo De Recoleta - 1'25'3/5 - PN |  |  |  |  | 16/02/25 - P. Alarcon - 5º a 22 cp de Eufemio - 1'18'4/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","4 | 29/12/24 - O. Alderete - 8º a 9 1/2 cp de Yoda - 1'12'4/5 - PN |  |  |  |  | 16/02/25 - J. Vizcarra - 1º gan x 2 cp a Master Of Masters - 1'20'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","5 | 29/12/24 - W. Marrades - 4º a 3 3/4 cp de Yoda - 1'12'4/5 - PN |  |  |  |  | 16/02/25 - F. Moran - 2º a 2 cp de Indio Electric - 1'20'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","6 | 10/01/25 - L. Colasso - 6º a 10 1/4 cp de Machacado - 1'49'3/5 - PN |  |  |  |  | 16/02/25 - H. Suarez - 2º a 3 cp de Full Kiss - 1'24'2/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","7 | 08/12/24 - J. Carrizo - 7º a 21 1/2 cp de Lord Lancelot - 1'28'2/5 - PB |  |  |  |  | 29/12/24 - P. Alarcon - 8º a 15 1/4 cp de Rojo De Recoleta - 1'25'3/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","8 | 29/12/24 - C. Caram - 10º a 15 1/2 cp de Yoda - 1'12'4/5 - PN |  |  |  |  | 16/02/25 - F. Brito - 5º a 13 cp de Indio Electric - 1'20'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","9 | 25/07/24 - M. Acerito R. - 3º a 9 cp de Good Island - 1'22'2/5 - PN |  |  |  |  | 26/08/24 - M. Acerito R. - 6º a 5 cp de Dose Dupla - 1'23'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","ESPECIAL 'JUAN MAURICIO DIAZ' |  |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","1.500 metros - Record Dist.: 1' 29' 2/5, Good Dancing 22/08/1999 - Dias Felices 28/01/2021 - Grooving 27/10/2024 |  |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","Para todo spc de 3 años y más edad. Peso 52 kilos. Recargo de 1 kilo por carrera ganada. Descargo de 1 kilo por cada año cumplido a partir de los 6 años.  |  |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","Descargo de 2 kilos a los que no se hayan clasificado hasta el 3er puesto, en sus 3 últimas actuaciones en Tucumán. Aprendices sin descargo. |  |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","NO COMPUTABLE - CAT. INTERIOR - Premios: $ 1.715.900 - $ 514.800 - $ 429.000 - $ 343.200 - $ 257.400 - $ 171.600 |  |  |  |  |  |  |  | APUESTA DOBLE FINAL $ 300 | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","AP. A GANADOR $ 1 ($ 300 MINIMO), EXACTA $ 100, TRIFECTA $ 100, DOBLE FINAL $ 300 |  |  |  |  |  |  |  | INCREMENTO: $ 150.000 | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","1 | 29/12/24 - W. Aguirre - 1º gan x 1/2 cp a El Sabalero - 1'25'3/5 - PN |  |  |  |  | 16/02/25 - J. Vizcarra - 3º a 4 1/2 cp de Full Kiss - 1'24'2/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","2 | 24/11/24 - F. Moran - 6º a 29 cp de Pacific Sea - 1'55'1/5 - PN |  |  |  |  | 29/12/24 - F. Brito - 7º a 4 cp de Etoo - 1'18'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","3 | 29/12/24 - S. Barrionuevo - 9º a 21 1/4 cp de He's A Rockstar - 2'7'1/5 - PN |  |  |  |  | 16/02/25 - J. Vizcarra - 1º gan x 3/4 cp a Wan Runner - 1'20'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","4 | 22/12/24 - R. Salazar - 1º gan x 6 cp a Full Kiss - 1'52'3/5 - PN (Distanciado) |  |  |  |  | 29/12/24 - R. Salazar - 1º gan x 7 cp a Suffok - 2'7'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","5 | 08/12/24 - J. Bethencourt - 1º gan x 2 cp a Suffok - 1'41'4/5 - PB |  |  |  |  | 29/12/24 - J. Bethencourt - 11º a 33 1/4 cp de He's a Rockstar - 2'7'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","6 | 29/12/24 - F. Moran - 2º a 7 cp de He's A Rockstar - 2'7'1/5 - PN |  |  |  |  | 16/02/25 - F. Moran - 5º a 8 1/2 cp de Full Kiss - 1'24'2/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","7 | 16/12/24 - W. Moreyra - 5º a 5 1/4 cp de Tamarisco Cat - 1'25'1/5 - PN |  |  |  |  | 25/01/25 - J. Vizcarra - 3º a 5 1/4 cp de Full Kiss - 1'34'4/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","8 | 22/12/24 - L. Medina - 4º a 6 3/4 cp de Full Kiss - 1'52'3/5 - PN |  |  |  |  | 25/01/25 - M. Rodriguez - 5º a 9 cp de Full Kiss - 1'34'4/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","PREMIO 'ESQUILADA' |  |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","1.300 metros - Record Dist.: 1' 16' 2/5, Panatta 19/12/2021 - High Commander 08/10/2023 |  |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","Para todo spc de 3 y 4 años ganadores de 1 carrera. Peso 56 kilos. |  |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","NO COMPUTABLE - CAT. INTERIOR - Premios: $ 1.635.700 - $ 490.700 - $ 408.900 - $ 327.100 - $ 245.400 - $ 163.600 |  |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","AP. A GANADOR $ 1 ($ 300 MINIMO), EXACTA $ 100, TRIFECTA $ 100 |  |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","1 | 29/12/24 - W. Figueroa - 7º a 13 cp de He's A Rockstar - 2'7'1/5 - PN |  |  |  |  | 16/02/25 - W. Figueroa - 6º a 13 cp de Full Kiss - 1'24'2/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","2 | 24/11/24 - P. Alarcon - 1º gan x 1 cp a Goloso Ken - 45'1/5 - PN |  |  |  |  | 29/12/24 - P. Alarcon - 1º gan x 4 cp a Curioso Militar - 1'17'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","3 | 27/10/24 - F. Moran - 6º a 17 3/4 cp de Grooving - 1'29'2/5 - PN |  |  |  |  | 29/12/24 - R. Camos - 6º a 3 1/2 cp de Etoo - 1'18'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","4 | 08/09/24 - J. Bethencourt - 6º a 21 3/4 cp de The Profeta - 1'17'3/5 - PN |  |  |  |  | 29/12/24 - J. Bethencourt - 3º a 1 cp de Rojo De Recoleta - 1'25'3/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","5 | 24/11/24 - C. Schultheis - 6º a 11 1/4 cp de Etoo - 1'24' - PN |  |  |  |  | 29/12/24 - A. Villegas - 8º a 21 cp de He's a Rockstar - 2'7'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","6 | 08/09/24 - J. Bethencourt - 1º gan x 3 cp a Furioso Amazon - 1'12'2/5 - PN |  |  |  |  | 24/09/24 - B. Enrique - 10º a 21 3/4 cp de Saint Song (Dist.) - 1'24'1/5 - PN |  |  | "
